section,query_or_page,clicks,impressions,ctr,position
top_queries,cold room repair london,119,179,0.664804469273743,4.162011173184357
top_queries,commercial fridge repair london,37,154,0.24025974025974026,11.422077922077921
top_queries,fridge repair london,27,197,0.13705583756345177,19.527918781725887
top_queries,cold direct,16,62,0.25806451612903225,2.467741935483871
top_queries,freezer repair london,15,95,0.15789473684210525,27
top_queries,commercial freezer repair london,10,13,0.7692307692307693,4.769230769230769
top_queries,ice cream machine repair,8,67,0.11940298507462686,9.014925373134329
top_queries,ice machine repair london,5,7,0.7142857142857143,5.714285714285714
top_queries,freezer room repair london,4,21,0.19047619047619047,33.19047619047619
top_queries,ice cream machine repair near me,4,43,0.09302325581395349,7.744186046511628
top_pages,https://www.colddirect.co.uk/,222,5426,0.04091411721341688,32.45669001105787
top_pages,https://www.colddirect.co.uk/cold-room-repairs-london,112,1488,0.07526881720430108,36.159946236559136
top_pages,https://www.colddirect.co.uk/ice-cream-maker-repairs-london,41,710,0.057746478873239436,12.83943661971831
top_pages,https://www.colddirect.co.uk/polar-repairs-london,35,463,0.0755939524838013,27.93304535637149
top_pages,https://www.colddirect.co.uk/walk-in-freezer-repairs-london,23,378,0.06084656084656084,28.48941798941799
top_pages,https://www.colddirect.co.uk/william-repairs-london,18,376,0.047872340425531915,47.22074468085106
top_pages,https://www.colddirect.co.uk/walk-in-fridge-repairs-london,16,309,0.05177993527508091,38.8252427184466
top_pages,https://www.colddirect.co.uk/foster-repairs-london,15,246,0.06097560975609756,27.76829268292683
top_pages,https://www.colddirect.co.uk/wine-cooler-repairs-london,15,413,0.03631961259079903,15.25181598062954
top_pages,https://www.colddirect.co.uk/blog/different-types-of-ice,14,7237,0.0019345032472018792,5.680116070194832
check1,cold room repair london | /cold-room-repairs-london,100,168,0.5952380952380952,2.9226190476190474
check2,fridge repair london | https://www.colddirect.co.uk/,25,162,0.15432098765432098,13.864197530864198
check2,fridge repair london | https://www.colddirect.co.uk/fridge-freezer-repairs-london,2,61,0.03278688524590164,64.81967213114754
check2,fridge repair london | https://www.colddirect.co.uk/fridge-repairs-london,0,44,0,50
check2,freezer repair london | https://www.colddirect.co.uk/fridge-freezer-repairs-london,11,62,0.1774193548387097,46.854838709677416
check2,freezer repair london | https://www.colddirect.co.uk/,3,54,0.05555555555555555,23.51851851851852
check2,freezer repair london | https://www.colddirect.co.uk/freezer-repairs-london,1,23,0.043478260869565216,55.69565217391305
check3,commercial fridge repair london,37,154,0.24025974025974026,11.422077922077921
