section,query_or_page,clicks,impressions,ctr,position
top_queries,cold room repair london,127,197,0.6446700507614214,4.868020304568528
top_queries,commercial fridge repair london,42,169,0.2485207100591716,12.065088757396449
top_queries,fridge repair london,31,192,0.16145833333333334,18.625
top_queries,freezer repair london,19,95,0.2,24.57894736842105
top_queries,cold direct,17,68,0.25,2.4411764705882355
top_queries,commercial freezer repair london,10,13,0.7692307692307693,4.769230769230769
top_queries,ice cream machine repair,7,68,0.10294117647058823,8.941176470588236
top_queries,freezer room repair london,5,25,0.2,31.6
top_queries,ice machine repair london,5,7,0.7142857142857143,5.714285714285714
top_queries,ice cream machine repair near me,4,38,0.10526315789473684,8.289473684210527
top_pages,https://www.colddirect.co.uk/,236,5341,0.04418648193222243,29.65736753416963
top_pages,https://www.colddirect.co.uk/cold-room-repairs-london,112,1322,0.08472012102874432,36.195915279878975
top_pages,https://www.colddirect.co.uk/ice-cream-maker-repairs-london,38,669,0.05680119581464873,12.210762331838565
top_pages,https://www.colddirect.co.uk/polar-repairs-london,35,443,0.07900677200902935,27.040632054176072
top_pages,https://www.colddirect.co.uk/walk-in-freezer-repairs-london,23,364,0.06318681318681318,27.48076923076923
top_pages,https://www.colddirect.co.uk/william-repairs-london,18,365,0.049315068493150684,47.42465753424658
top_pages,https://www.colddirect.co.uk/wine-cooler-repairs-london,18,418,0.0430622009569378,14.246411483253588
top_pages,https://www.colddirect.co.uk/walk-in-fridge-repairs-london,16,316,0.05063291139240506,35.75
top_pages,https://www.colddirect.co.uk/foster-repairs-london,15,189,0.07936507936507936,27.04232804232804
top_pages,https://www.colddirect.co.uk/ice-cream-machine-repair-london,14,92,0.15217391304347827,34.80434782608695
check1,cold room repair london | /cold-room-repairs-london,100,165,0.6060606060606061,2.921212121212121
check2,fridge repair london | https://www.colddirect.co.uk/,29,152,0.19078947368421054,12.94078947368421
check2,fridge repair london | https://www.colddirect.co.uk/fridge-freezer-repairs-london,2,52,0.038461538461538464,63.34615384615385
check2,fridge repair london | https://www.colddirect.co.uk/fridge-repairs-london,0,35,0,47.371428571428574
check2,fridge repair london | https://www.colddirect.co.uk/walk-in-fridge-repairs-london,0,4,0,6.75
check2,fridge repair london | https://www.colddirect.co.uk/whirlpool-repairs-london,0,1,0,16
check2,freezer repair london | https://www.colddirect.co.uk/,7,55,0.12727272727272726,20.12727272727273
check2,freezer repair london | https://www.colddirect.co.uk/fridge-freezer-repairs-london,11,53,0.20754716981132076,42.39622641509434
check2,freezer repair london | https://www.colddirect.co.uk/freezer-repairs-london,1,13,0.07692307692307693,50.30769230769231
check3,commercial fridge repair london,42,169,0.2485207100591716,12.065088757396449
