section,query_or_page,clicks,impressions,ctr,position
top_queries,cold room repair london,123,186,0.6612903225806451,4.865591397849462
top_queries,commercial fridge repair london,41,169,0.24260355029585798,12.562130177514794
top_queries,fridge repair london,31,198,0.15656565656565657,19.217171717171716
top_queries,freezer repair london,18,98,0.1836734693877551,26.010204081632654
top_queries,cold direct,16,63,0.25396825396825395,2.4761904761904763
top_queries,commercial freezer repair london,10,13,0.7692307692307693,4.769230769230769
top_queries,ice cream machine repair,8,69,0.11594202898550725,8.797101449275363
top_queries,freezer room repair london,5,25,0.2,31.6
top_queries,ice machine repair london,5,7,0.7142857142857143,5.714285714285714
top_queries,ice cream machine repair near me,4,40,0.1,7.875
top_pages,https://www.colddirect.co.uk/,232,5424,0.04277286135693215,31.480272861356934
top_pages,https://www.colddirect.co.uk/cold-room-repairs-london,112,1427,0.07848633496846531,35.96706377014716
top_pages,https://www.colddirect.co.uk/ice-cream-maker-repairs-london,39,684,0.05701754385964912,12.095029239766081
top_pages,https://www.colddirect.co.uk/polar-repairs-london,36,460,0.0782608695652174,27.57608695652174
top_pages,https://www.colddirect.co.uk/walk-in-freezer-repairs-london,23,374,0.06149732620320856,28.18716577540107
top_pages,https://www.colddirect.co.uk/william-repairs-london,18,373,0.04825737265415549,47.160857908847184
top_pages,https://www.colddirect.co.uk/wine-cooler-repairs-london,17,417,0.0407673860911271,14.870503597122303
top_pages,https://www.colddirect.co.uk/walk-in-fridge-repairs-london,16,313,0.051118210862619806,38.04153354632588
top_pages,https://www.colddirect.co.uk/foster-repairs-london,15,226,0.06637168141592921,28.11946902654867
top_pages,https://www.colddirect.co.uk/ice-cream-machine-repair-london,14,89,0.15730337078651685,35.69662921348315
check1,cold room repair london | /cold-room-repairs-london,100,166,0.6024096385542169,2.9216867469879517
check2,fridge repair london | https://www.colddirect.co.uk/,29,163,0.17791411042944785,13.521472392638037
check2,fridge repair london | https://www.colddirect.co.uk/fridge-freezer-repairs-london,2,58,0.034482758620689655,64.44827586206897
check2,fridge repair london | https://www.colddirect.co.uk/fridge-repairs-london,0,40,0,49.275
check2,freezer repair london | https://www.colddirect.co.uk/fridge-freezer-repairs-london,11,60,0.18333333333333332,46.11666666666667
check2,freezer repair london | https://www.colddirect.co.uk/,6,57,0.10526315789473684,22
check2,freezer repair london | https://www.colddirect.co.uk/freezer-repairs-london,1,21,0.047619047619047616,55.23809523809524
check3,commercial fridge repair london,41,169,0.24260355029585798,12.562130177514794
